variable,mapping
audio_prog_dir_spend,AUDIO PROG DIR
audio_prog_direct,AUDIO - DIRECT & PROG
bg_discount_weighted,BASE GAME PROMOTIONS
change_in_deaths,COVID
cinema,CINEMA
competitor_spend,COMPETITOR
console_i,CONSOLE
console_release,CONSOLE RELEASE
console_s,CONSOLE
console_spend,CONSOLE
digital_direct_spend,DIGITAL DIRECT
dirdisp_progdisp_natdisp_s,DIRDISP PROGDISP NATDISP
direct_audio,AUDIO - DIRECT
direct_display,DISPLAY - DIRECT
direct_display_social_display,SOCIAL DISPLAY & DIRECT DISPLAY
direct_prog_display_spend,DIRECT PROG DISPLAY
direct_prog_video_spend,DIRECT PROG VIDEO
direct_programmatic_audio_s,DIRECT PROGRAMMATIC AUDIO
direct_programmatic_display_s,DIRECT PROGRAMMATIC DISPLAY
direct_video,DIRECT VIDEO
direct_video_s,DIRECT VIDEO
directdisplay_progdisplay_i,DIRECTDISPLAY PROGDISPLAY
directdisplay_progdisplay_s,DIRECTDISPLAY PROGDISPLAY
dirvideo_progvideo_s,DIRVIDEO PROGVIDEO
display_prog_dir_native_spend,DISPLAY PROG DIR NATIVE
display_prog_direct_native,DISPLAY - DIRECT & PROG
entitlements_new_adjusted,ENTITLEMENTS NEW ADJUSTED
ep_discount_weighted,EP PROMOTIONS
ep_releases,EP RELEASES
exist_cust_base_all,EXIST CUST BASE ALL
exist_cust_base_pcwin,EXIST CUST BASE PCWIN
exist_cust_base_ps4,EXIST CUST BASE PS4
exist_cust_base_ps5,EXIST CUST BASE PS5
exist_cust_base_switch,EXIST CUST BASE SWITCH
exist_cust_base_xboxone,EXIST CUST BASE XBOXONE
exist_cust_base_xboxsx,EXIST CUST BASE XBOXSX
facebook,FACEBOOK
facebook_i,FACEBOOK
facebook_insta_s,FACEBOOK INSTA
facebook_insta_social_video_spend,FACEBOOK INSTA SOCIAL VIDEO
facebook_insta_spend,FACEBOOK INSTAGRAM SOCIAL VIDEO
facebook_s,FACEBOOK
fb_insta_s,FB / IG
fb_insta_twitter_s,FB INSTA TWITTER
gp_discount_weighted,GP PROMOTIONS
impressions_audio_prog_direct,AUDIO - DIRECT & PROG
impressions_direct_audio,AUDIO - DIRECT
impressions_direct_display,DISPLAY - DIRECT
impressions_direct_display_social_display,SOCIAL DISPLAY
impressions_direct_video,VIDEO - DIRECT
impressions_display_prog_direct_native,DISPLAY - DIRECT & PROG
impressions_programmatic_audio,AUDIO - PROG
impressions_programmatic_display,DISPLAY - PROG
impressions_programmatic_display_programmatic_native,DISPLAY - DIRECT & PROG
impressions_programmatic_video,VIDEO - PROG
impressions_search,SEARCH
impressions_social_display,SOCIAL DISPLAY
impressions_social_video,SOCIAL VIDEO
impressions_video_prog_direct,VIDEO - DIRECT & PROG
impressions_vodtv,VOD & TV
inflation,INFLATION
influencer_spend,INFLUENCER
influencers,INFLUENCERS
instagram,ORGANIC - IG
key_partnerships,NON-MEDIA PARTNERSHIPS
major_events,SIMS EVENTS
minutes_streamed,TWITCH VIEWERSHIP
minutes_watched,TWITCH VIEWERSHIP
nhl_release_date_ea_play,NHL RELEASE DATE (EA PLAY)
ooh_s,OOH
ooh_spend,OOH
other_dlc_releases,DLC RELEASE
ott_directvideo_progvideo_i,OTT DIRECTVIDEO PROGVIDEO
