variable,mapping
audio_prog_dir_spend,DIGITAL AUDIO
clicks_aquisition_email,CLICKS AQUISITION EMAIL
clicks_churn_prevention_email,CLICKS CHURN PREVENTION EMAIL
console,CONSOLE
console_imp,CONSOLE IMP
console_spend,CONSOLE
corrected_twitch_minutes_watched,TWITCH MINUTES WATCHED
dg_asp,DG ASP
display_prog_dir_spend,DIGITAL DISPLAY
ea_play,EA PLAY
fb insta social video,META SOCIAL VIDEO
fb_insta_social_video_imp,FB INSTA SOCIAL VIDEO IMP
fb_insta_social_video_spend,META SOCIAL VIDEO
fifa_release,FIFA RELEASE
holiday,HOLIDAY
intercept,INTERCEPT
other_social_video_imp,OTHER SOCIAL VIDEO IMP
other_social_video_spend,OTHER SOCIAL VIDEO
out of home,OUT OF HOME
out_of_home_imp,OUT OF HOME IMP
out_of_home_spend,OUT OF HOME
prog direct display,DIGITAL DISPLAY
prog direct video,DIGITAL VIDEO
prog_direct_audio_imp,PROG DIRECT AUDIO IMP
prog_direct_audio_spend,DIGITAL VIDEO
prog_direct_display_imp,PROG DIRECT DISPLAY IMP
prog_direct_display_spend,DIGITAL DISPLAY
prog_direct_video_imp,PROG DIRECT VIDEO IMP
prog_direct_video_spend,DIGITAL VIDEO
promo_discount_weighted,PROMO DISCOUNT
release,RELEASE
retail spend,RETAIL SPEND
retail_spend,RETAIL SPEND
season,SEASON
social display,SOCIAL DISPLAY
social_display_imp,SOCIAL DISPLAY IMP
social_display_spend,SOCIAL DISPLAY
social_video_imp,SOCIAL VIDEO IMP
social_video_other_spend,SOCIAL VIDEO OTHER
social_video_spend,SOCIAL VIDEO
social_video_twitter_spend,SOCIAL VIDEO TWITTER
social_video_yt_spend,SOCIAL VIDEO YOUTUBE
stringency,STRINGENCY
tiktok social video,TIKTOK
tiktok_social_video_imp,TIKTOK SOCIAL VIDEO IMP
tiktok_social_video_spend,TIKTOK SOCIAL VIDEO
total competitor spend,TOTAL COMPETITOR SPEND
total_clicks_email,TOTAL CLICKS EMAIL
total_competitor_spend,TOTAL COMPETITOR SPEND
trend,TREND
tv spons vod,TV SPONSORSHIP / VOD
tv total,TV TOTAL
tv_spons_vod_imp,TV SPONS VOD IMP
tv_spons_vod_spend,TV SPONS VOD
tv_total_imp,TV TOTAL IMP
tv_total_spend,TV TOTAL
tv_total_spend_corrected,TV
tw snap social video,TWITTER / SNAPCHAT SOCIAL VIDEO
tw_snap_social_video_imp,TW SNAP SOCIAL VIDEO IMP
tw_snap_social_video_spend,TWITTER / SNAPCHAT SOCIAL VIDEO
twitch_minutes_watched,TWITCH MINUTES WATCHED
video_prog_dir_spend,DIGITAL VIDEO
xmas,XMAS
youtube social video,YOUTUBE
youtube_social_video_imp,YOUTUBE SOCIAL VIDEO IMP
youtube_social_video_spend,YOUTUBE SOCIAL VIDEO
