"","DATE","revenue","tv_spend","facebook_spend","social_spend","search_spend","tv_imp","facebook_imp","social_imp","search_imp","competitor_sales","newsletter"
"1",2015-11-23,2754371.66666667,167687.6,0,95463.6666666667,0,59394352.7044847,72903852.7125913,228213.987444138,0,8125009,19401.6538461538
"2",2015-11-30,2584276.66666667,214600.9,0,0,31000,14603966.4114932,16581099.5453259,34258.5735106246,29511.7154573556,7901549,14791
"3",2015-12-07,2547386.66666667,0,248022,3404,28400,48099224.7326056,49954773.6704713,127691.261334797,36132.358958479,8300197,14544
"4",2015-12-14,2875220,625877.3,0,132600,31900,21111526.0098649,31649297.028794,84014.7203055314,36804.2109583039,8122883,2800
"5",2015-12-21,2215953.33333333,0,520005,0,27100,4471626.35588237,8802269.47875135,20687.4781557608,28401.7440689961,7105985,15478
"6",2015-12-28,2569921.66666667,249189.8,0,239417.333333333,28300,68290665.0486552,49902081.1072813,160110.155202057,38061.7759105633,7097237,13817
"7",2016-01-04,2171506.66666667,5152.9,425163,0,27800,24196849.411989,41147695.8176496,108690.36698611,36289.5137845771,6974368,28817
"8",2016-01-11,2464131.66666667,22141.7,0,176859.666666667,32000,64344584.1287219,56554690.6011959,123894.484594755,34765.1089945226,7452174,19082
"9",2016-01-18,2012520,0,0,0,22900,47739105.0969283,35730563.6390355,108690.36698611,28023.4815016389,6703566,19679
"10",2016-01-25,1738911.66666667,0,0,84329.3333333333,22900,39972236.9556943,31861260.5535892,90080.7175523908,21069.7392458096,5535394,15095
"11",2016-02-01,1772306.66666667,123838.7,79645,0,20600,0,0,0,28023.9772998262,5480098,9795
"12",2016-02-08,1809058.33333333,0,0,35726.6666666667,20200,27445968.5639865,34249657.5537999,106931.465933599,21323.3319736086,5872523,10876
"13",2016-02-15,1952740,497073.3,0,18363,0,19472429.8059263,15189759.0246453,43457.9322069274,0,5822926,19401.6538461538
"14",2016-02-22,1507805,0,0,0,0,0,0,0,0,5027123,19401.6538461538
"15",2016-02-29,1510391.66666667,311672.2,0,0,17200,35255634.1884005,32458460.7268688,72467.8921194176,16067.6701187622,4561518,583
"16",2016-03-07,1588840,0,0,123795.666666667,21200,0,0,0,28877.3841721821,4996211,8224
