ds,holiday,country,year
01/01/1995,Neujahr,DE,1995
14/04/1995,Karfreitag,DE,1995
17/04/1995,Ostermontag,DE,1995
01/05/1995,Erster Mai,DE,1995
25/05/1995,Christi Himmelfahrt,DE,1995
05/06/1995,Pfingstmontag,DE,1995
03/10/1995,Tag der Deutschen Einheit,DE,1995
01/01/1996,Neujahr,DE,1996
05/04/1996,Karfreitag,DE,1996
08/04/1996,Ostermontag,DE,1996
01/05/1996,Erster Mai,DE,1996
16/05/1996,Christi Himmelfahrt,DE,1996
27/05/1996,Pfingstmontag,DE,1996
03/10/1996,Tag der Deutschen Einheit,DE,1996
01/01/1997,Neujahr,DE,1997
28/03/1997,Karfreitag,DE,1997
31/03/1997,Ostermontag,DE,1997
01/05/1997,Erster Mai,DE,1997
08/05/1997,Christi Himmelfahrt,DE,1997
19/05/1997,Pfingstmontag,DE,1997
03/10/1997,Tag der Deutschen Einheit,DE,1997
01/01/1998,Neujahr,DE,1998
10/04/1998,Karfreitag,DE,1998
13/04/1998,Ostermontag,DE,1998
01/05/1998,Erster Mai,DE,1998
21/05/1998,Christi Himmelfahrt,DE,1998
01/06/1998,Pfingstmontag,DE,1998
03/10/1998,Tag der Deutschen Einheit,DE,1998
01/01/1999,Neujahr,DE,1999
02/04/1999,Karfreitag,DE,1999
05/04/1999,Ostermontag,DE,1999
01/05/1999,Erster Mai,DE,1999
13/05/1999,Christi Himmelfahrt,DE,1999
24/05/1999,Pfingstmontag,DE,1999
03/10/1999,Tag der Deutschen Einheit,DE,1999
01/01/2000,Neujahr,DE,2000
21/04/2000,Karfreitag,DE,2000
24/04/2000,Ostermontag,DE,2000
01/05/2000,Erster Mai,DE,2000
01/06/2000,Christi Himmelfahrt,DE,2000
12/06/2000,Pfingstmontag,DE,2000
03/10/2000,Tag der Deutschen Einheit,DE,2000
01/01/2001,Neujahr,DE,2001
13/04/2001,Karfreitag,DE,2001
16/04/2001,Ostermontag,DE,2001
01/05/2001,Erster Mai,DE,2001
24/05/2001,Christi Himmelfahrt,DE,2001
04/06/2001,Pfingstmontag,DE,2001
03/10/2001,Tag der Deutschen Einheit,DE,2001
01/01/2002,Neujahr,DE,2002
29/03/2002,Karfreitag,DE,2002
01/04/2002,Ostermontag,DE,2002
01/05/2002,Erster Mai,DE,2002
09/05/2002,Christi Himmelfahrt,DE,2002
20/05/2002,Pfingstmontag,DE,2002
03/10/2002,Tag der Deutschen Einheit,DE,2002
01/01/2003,Neujahr,DE,2003
18/04/2003,Karfreitag,DE,2003
21/04/2003,Ostermontag,DE,2003
01/05/2003,Erster Mai,DE,2003
29/05/2003,Christi Himmelfahrt,DE,2003
09/06/2003,Pfingstmontag,DE,2003
03/10/2003,Tag der Deutschen Einheit,DE,2003
01/01/2004,Neujahr,DE,2004
09/04/2004,Karfreitag,DE,2004
12/04/2004,Ostermontag,DE,2004
01/05/2004,Erster Mai,DE,2004
20/05/2004,Christi Himmelfahrt,DE,2004
31/05/2004,Pfingstmontag,DE,2004
03/10/2004,Tag der Deutschen Einheit,DE,2004
01/01/2005,Neujahr,DE,2005
25/03/2005,Karfreitag,DE,2005
28/03/2005,Ostermontag,DE,2005
01/05/2005,Erster Mai,DE,2005
05/05/2005,Christi Himmelfahrt,DE,2005
16/05/2005,Pfingstmontag,DE,2005
03/10/2005,Tag der Deutschen Einheit,DE,2005
01/01/2006,Neujahr,DE,2006
14/04/2006,Karfreitag,DE,2006
17/04/2006,Ostermontag,DE,2006
01/05/2006,Erster Mai,DE,2006
25/05/2006,Christi Himmelfahrt,DE,2006
05/06/2006,Pfingstmontag,DE,2006
03/10/2006,Tag der Deutschen Einheit,DE,2006
01/01/2007,Neujahr,DE,2007
06/04/2007,Karfreitag,DE,2007
09/04/2007,Ostermontag,DE,2007
01/05/2007,Erster Mai,DE,2007
17/05/2007,Christi Himmelfahrt,DE,2007
28/05/2007,Pfingstmontag,DE,2007
03/10/2007,Tag der Deutschen Einheit,DE,2007
01/01/2008,Neujahr,DE,2008
21/03/2008,Karfreitag,DE,2008
24/03/2008,Ostermontag,DE,2008
01/05/2008,Christi Himmelfahrt,DE,2008
01/05/2008,Erster Mai,DE,2008
12/05/2008,Pfingstmontag,DE,2008
03/10/2008,Tag der Deutschen Einheit,DE,2008
01/01/2009,Neujahr,DE,2009
10/04/2009,Karfreitag,DE,2009
13/04/2009,Ostermontag,DE,2009
01/05/2009,Erster Mai,DE,2009
21/05/2009,Christi Himmelfahrt,DE,2009
01/06/2009,Pfingstmontag,DE,2009
03/10/2009,Tag der Deutschen Einheit,DE,2009
01/01/2010,Neujahr,DE,2010
