ds,holiday,country,year
01/01/1995,Ano Nuevo [New Year's Day],MX,1995
02/01/1995,Ano Nuevo [New Year's Day] (Observed),MX,1995
05/02/1995,Dia de la Constitucion [Constitution Day],MX,1995
21/03/1995,Natalicio de Benito Juarez [Benito Juarez's birthday],MX,1995
01/05/1995,Dia del Trabajo [Labour Day],MX,1995
15/09/1995,Dia de la Independencia [Independence Day] (Observed),MX,1995
16/09/1995,Dia de la Independencia [Independence Day],MX,1995
20/11/1995,Dia de la Revolucion [Revolution Day],MX,1995
25/12/1995,Navidad [Christmas],MX,1995
01/01/1996,Ano Nuevo [New Year's Day],MX,1996
05/02/1996,Dia de la Constitucion [Constitution Day],MX,1996
21/03/1996,Natalicio de Benito Juarez [Benito Juarez's birthday],MX,1996
01/05/1996,Dia del Trabajo [Labour Day],MX,1996
16/09/1996,Dia de la Independencia [Independence Day],MX,1996
20/11/1996,Dia de la Revolucion [Revolution Day],MX,1996
25/12/1996,Navidad [Christmas],MX,1996
01/01/1997,Ano Nuevo [New Year's Day],MX,1997
05/02/1997,Dia de la Constitucion [Constitution Day],MX,1997
21/03/1997,Natalicio de Benito Juarez [Benito Juarez's birthday],MX,1997
01/05/1997,Dia del Trabajo [Labour Day],MX,1997
16/09/1997,Dia de la Independencia [Independence Day],MX,1997
20/11/1997,Dia de la Revolucion [Revolution Day],MX,1997
25/12/1997,Navidad [Christmas],MX,1997
01/01/1998,Ano Nuevo [New Year's Day],MX,1998
05/02/1998,Dia de la Constitucion [Constitution Day],MX,1998
21/03/1998,Natalicio de Benito Juarez [Benito Juarez's birthday],MX,1998
01/05/1998,Dia del Trabajo [Labour Day],MX,1998
16/09/1998,Dia de la Independencia [Independence Day],MX,1998
20/11/1998,Dia de la Revolucion [Revolution Day],MX,1998
25/12/1998,Navidad [Christmas],MX,1998
01/01/1999,Ano Nuevo [New Year's Day],MX,1999
05/02/1999,Dia de la Constitucion [Constitution Day],MX,1999
21/03/1999,Natalicio de Benito Juarez [Benito Juarez's birthday],MX,1999
30/04/1999,Natalicio de Benito Juarez [Benito Juarez's birthday] (Observed),MX,1999
01/05/1999,Dia del Trabajo [Labour Day],MX,1999
16/09/1999,Dia de la Independencia [Independence Day],MX,1999
20/11/1999,Dia de la Revolucion [Revolution Day],MX,1999
24/12/1999,Transmision del Poder Ejecutivo Federal [Change of Federal Government] (Observed),MX,1999
25/12/1999,Navidad [Christmas],MX,1999
