date,GOOG,AAPL,FB,IBM,AAL,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
08/02/2013,390.147461,50.975567,28.549999,186.41,14.75,261.950012,18.931015,2.59,62.357922,11.104784,23.999556,26.88151,12.55,35.790745,75.169655,71.007721,13.367504,48.706871,22.530869,42.448936,25.403105
09/02/2013,388.682007,51.506813,28.26,186.73,14.46,257.209991,18.888947,2.67,62.288139,11.199212,23.965954,26.851019,12.455,36.20586,74.889717,69.560989,13.734696,48.370678,22.748802,42.475128,25.299459
10/02/2013,387.827545,50.215736,27.370001,182.43,14.27,258.700012,18.998323,2.77,62.288139,11.567486,23.982756,27.13302,12.43,36.039814,75.042397,69.905449,13.489903,48.258324,22.623072,42.894123,25.353533
11/02/2013,388.900574,50.120209,27.91,180.11,14.66,269.470001,19.679844,2.75,62.279396,11.491941,24.083559,26.995832,12.175,35.941696,75.220573,70.181015,13.218881,48.21838,22.631454,42.49258,25.159758
12/02/2013,391.364563,50.075142,28.5,179.5,13.99,269.23999,19.696667,2.75,61.782146,11.45417,23.310734,26.896755,12.225,36.575695,75.093307,70.594368,13.734696,48.492348,22.681744,42.963943,25.033575
13/02/2013,393.883179,49.385067,28.32,179.4,14.5,265.089996,19.595703,2.71,60.456127,11.359742,23.31913,26.950102,12.3875,35.722816,74.957565,69.246056,14.748845,48.58242,22.874529,42.667168,24.488289
14/02/2013,400.818054,49.366829,28.93,180.61,14.26,269.75,19.982737,2.82,59.985023,11.510825,23.251934,27.186365,12.44,36.636074,75.771973,71.342331,15.151005,48.557346,23.22658,43.164711,24.537863
15/02/2013,393.669556,48.171265,28.459999,179.97,13.33,266.410004,19.696667,2.7,60.377594,11.142554,22.764717,27.033939,12.19,36.153027,75.47506,69.137794,15.081061,47.633305,23.109226,42.431477,24.024118
16/02/2013,395.194641,47.871834,27.280001,179.12,13.37,265.940002,19.730597,2.6,61.293617,10.783729,22.269104,27.003456,11.935,35.745457,75.152687,69.039375,15.220948,48.253666,22.975119,42.117233,24.042143
17/02/2013,397.271149,48.381615,27.129999,177.46,13.57,265.420013,19.840874,2.61,61.415737,10.802613,22.773123,27.193998,11.8125,35.617149,75.670158,70.574661,14.879985,48.647438,22.949968,42.693344,24.411678
18/02/2013,392.830017,47.521954,27.27,177.03,13.02,259.869995,19.348883,2.53,61.450638,10.415456,22.117891,26.820538,11.6725,34.741627,74.39769,69.354324,14.862498,47.446636,22.497341,41.637138,23.979055
19/02/2013,392.512085,48.184139,27.389999,175.97,13.26,259.359985,19.552462,2.46,62.035133,10.509885,22.537907,27.049192,11.8825,34.288769,75.084831,70.230232,14.390395,47.335194,22.656601,41.549854,24.010599
20/02/2013,397.305908,47.711926,26.870001,176.29,13.41,263.25,19.82391,2.53,62.514965,10.680009,23.016726,27.323565,12.0525,35.82848,75.950119,73.035095,14.512794,47.845058,22.975119,43.016315,24.591936
21/02/2013,398.011322,47.371716,27.25,176.57,13.43,264.269989,19.696669,2.49,61.74725,10.613852,22.806719,27.369295,12.32,33.964222,75.967079,75.584084,14.346681,48.089291,22.941591,42.702068,24.718119
22/02/2013,400.490204,46.198692,27.780001,176.89,13.61,265.73999,19.671223,2.42,62.584736,10.717814,22.857119,27.445503,12.365,33.481174,75.86528,76.164734,15.002378,48.133865,22.958353,42.693344,24.727127
23/02/2013,408.095734,45.080402,27.719999,177.11,13.9,273.109985,19.739084,2.4,63.91077,10.783974,22.756317,27.613182,12.4925,33.337772,75.458084,76.026978,15.535685,48.422691,23.209816,42.8592,25.101171
24/02/2013,416.590485,46.270596,27.52,176.46,14.05,275.589996,20.010519,2.43,64.31205,10.916292,23.167931,27.895182,12.4775,35.194481,76.017982,77.286705,16.086468,48.951107,23.528328,43.199619,25.4662
25/02/2013,413.003815,45.682476,27.450001,174.55,14.57,273.790009,20.078384,2.43,64.015427,11.265993,23.445141,27.658915,12.5525,34.930317,75.975563,76.40097,16.39246,48.995686,23.570244,43.670982,25.73208
26/02/2013,413.609863,46.210495,28.58,173.99,14.82,273.880005,20.086872,2.55,63.963097,11.587338,23.419941,27.73513,12.625,36.900242,75.254501,77.591797,16.838335,48.911175,23.695969,44.19474,26.250326
27/02/2013,413.073364,46.332844,27.959999,174.45,14.92,274.190002,20.163214,2.56,64.121132,11.407761,23.520739,27.95616,12.285,37.496502,75.47506,77.591797,17.633915,49.148926,23.628918,43.819378,26.439598
28/02/2013,414.712708,46.992863,28.139999,174.1,15.13,271.23999,20.035973,2.59,64.077248,11.483372,23.781149,27.895182,12.17,38.575809,75.636246,78.064194,17.555231,49.303093,23.679205,44.063797,26.412561
01/03/2013,411.130981,45.979752,27.83,175.71,15.5,274.130005,19.857838,2.61,64.621597,11.351052,23.831549,27.986641,12.1275,37.75312,75.636246,78.044518,17.738825,48.585213,23.419367,43.889217,26.263845
